#id: 3536693818
#name: H.sapiens - Brain (Integrated)
#score: 32.4
#coverage: 69
#description: integrated dataset: weighted average of all H.sapiens BRAIN: 32.4; Coverage: 69
#organ: BRAIN
#integrated: true
#weights: human_brain_Martens_2006_proteomics:0.251;PXD012101_Betz:0.251;PXD037133_brain_control:0.151;PXD012101_Purkinje:0.12;9606-PA_brain_201308:0.083;human_brain_atlas_201106:0.083;PXD020192_brain:0.031;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Brain:0.016;human_brain_PA_2015-1:0.007;Fetal_Brain_Kim_2014_SEQUEST:0.007;
#publication_year: 2026
#filename: 9606-BRAIN-integrated.txt
#
#gene_name	string_external_id	abundance
LGALS1	9606.ENSP00000215909	1310
HSP90AB1	9606.ENSP00000360609	1302
SLC25A6	9606.ENSP00000370808	1291
ENO3	9606.ENSP00000324105	1287
ATP6V1E1	9606.ENSP00000253413	1282
PGAM1	9606.ENSP00000359991	1277
ATP5PD	9606.ENSP00000301587	1259
CLTC	9606.ENSP00000479606	1253
PRDX6	9606.ENSP00000342026	1248
SLC1A2	9606.ENSP00000278379	1248
ATP5PO	9606.ENSP00000290299	1224
SLC1A3	9606.ENSP00000265113	1222
HINT1	9606.ENSP00000304229	1222
H2BC1	9606.ENSP00000274764	1219
MOG	9606.ENSP00000366091	1206
ATP6V1A	9606.ENSP00000273398	1204
SH3GL2	9606.ENSP00000369981	1161
DCD	9606.ENSP00000406773	1158
ATP5F1C	9606.ENSP00000349142	1147
PRDX5	9606.ENSP00000265462	1143
CISD1	9606.ENSP00000363041	1137
GLUL	9606.ENSP00000307900	1137
MARCKS	9606.ENSP00000478061	1132
S100A1	9606.ENSP00000292169	1126
QDPR	9606.ENSP00000281243	1126
GNB2	9606.ENSP00000305260	1116
VDAC3	9606.ENSP00000428845	1116
SPTAN1	9606.ENSP00000487444	1112
UQCRC2	9606.ENSP00000268379	1082
GLUD1	9606.ENSP00000277865	1075
GSN	9606.ENSP00000362924	1058
CRMP1	9606.ENSP00000321606	1051
CBR1	9606.ENSP00000290349	1030
NSF	9606.ENSP00000381293	1025
ANXA6	9606.ENSP00000346550	1011
LDHA	9606.ENSP00000445175	1008
EEF1B2	9606.ENSP00000376055	1004
CPLX2	9606.ENSP00000352544	1003
PCMT1	9606.ENSP00000497225	1002
FABP7	9606.ENSP00000348931	1002
COX7A2	9606.ENSP00000359098	997
HSPA5	9606.ENSP00000324173	988
GPI	9606.ENSP00000405573	988
RAB3A	9606.ENSP00000222256	976
COX5B	9606.ENSP00000258424	972
SLC25A3	9606.ENSP00000228318	970
ATP1A2	9606.ENSP00000354490	962
CLTB	9606.ENSP00000309415	957
NDUFA4	9606.ENSP00000339720	954
HNRNPA2B1	9606.ENSP00000346694	949
ATP5F1D	9606.ENSP00000215375	939
SYP	9606.ENSP00000263233	939
NCAM1	9606.ENSP00000480132	937
CDC42	9606.ENSP00000497733	936
ENSP00000489910	9606.ENSP00000489910	921
CS	9606.ENSP00000342056	905
UQCRC1	9606.ENSP00000203407	904
IDH3A	9606.ENSP00000299518	904
ATP5MG	9606.ENSP00000300688	901
COX6C	9606.ENSP00000429707	896
SKP1	9606.ENSP00000231487	890
FABP3	9606.ENSP00000362817	885
PRDX3	9606.ENSP00000298510	884
ANXA5	9606.ENSP00000296511	877
DNAJC5	9606.ENSP00000354111	864
RPL23A	9606.ENSP00000389103	855
ATP5PF	9606.ENSP00000389649	853
CSRP1	9606.ENSP00000356275	852
TXN	9606.ENSP00000363641	852
NME1	9606.ENSP00000337060	827
CRYM	9606.ENSP00000219599	817
GSTP1	9606.ENSP00000381607	815
PACSIN1	9606.ENSP00000484060	814
TTR	9606.ENSP00000237014	809
HSPA2	9606.ENSP00000378199	805
TPM1	9606.ENSP00000351022	803
ARHGDIA	9606.ENSP00000463939	800
MGST3	9606.ENSP00000356864	784
DDAH1	9606.ENSP00000284031	783
CFL2	9606.ENSP00000298159	777
VAMP3	9606.ENSP00000054666	775
KRT14	9606.ENSP00000167586	773
CA2	9606.ENSP00000285379	769
NME2	9606.ENSP00000376886	765
MAPT	9606.ENSP00000340820	765
MAP2	9606.ENSP00000353508	762
HBG2	9606.ENSP00000338082	760
MIF	9606.ENSP00000215754	750
SEPTIN7	9606.ENSP00000413507	740
STX1A	9606.ENSP00000222812	735
CAMK2B	9606.ENSP00000379098	730
ATP6V1B2	9606.ENSP00000276390	729
NDRG2	9606.ENSP00000451712	727
HBG1	9606.ENSP00000327431	727
UBB	9606.ENSP00000478771	724
CEND1	9606.ENSP00000328336	720
COX5A	9606.ENSP00000317780	711
ATP5PB	9606.ENSP00000358737	708
CKMT1B	9606.ENSP00000300283	706
CKMT1A	9606.ENSP00000406577	706
MAPK1	9606.ENSP00000215832	705
FEZF2	9606.ENSP00000283268	701
PHB	9606.ENSP00000479488	699
AK1	9606.ENSP00000223836	699
NAPB	9606.ENSP00000482826	695
CA8	9606.ENSP00000314407	691
SPTBN1	9606.ENSP00000349259	691
CALR	9606.ENSP00000320866	686
TKT	9606.ENSP00000391481	683
GNG2	9606.ENSP00000334448	682
CNTN1	9606.ENSP00000447006	677
COX6B1	9606.ENSP00000466818	674
AMPH	9606.ENSP00000348602	673
OXCT1	9606.ENSP00000196371	672
IDH2	9606.ENSP00000331897	670
TUBB1	9606.ENSP00000217133	668
SOD2-2	9606.ENSP00000442920	664
HBE1	9606.ENSP00000292896	662
GDI2	9606.ENSP00000369538	655
NRGN	9606.ENSP00000284292	652
PLLP	9606.ENSP00000219207	652
CSTB	9606.ENSP00000291568	651
TMOD2	9606.ENSP00000249700	650
ATP6V0C	9606.ENSP00000329757	647
ENSP00000496470	9606.ENSP00000496470	644
RPL35A	9606.ENSP00000495672	641
CAMK2D	9606.ENSP00000425824	635
HSPB1	9606.ENSP00000248553	635
TPM3	9606.ENSP00000498577	632
SLC25A11	9606.ENSP00000225665	629
DPYSL3	9606.ENSP00000343690	629
TPT1	9606.ENSP00000477781	627
TAGLN3	9606.ENSP00000377494	627
PHB2	9606.ENSP00000441875	626
KRT6B	9606.ENSP00000252252	625
ATP5MD	9606.ENSP00000358840	620
RAB1B	9606.ENSP00000310226	617
POTEE	9606.ENSP00000439189	615
RPL13	9606.ENSP00000307889	611
FXYD6	9606.ENSP00000442756	610
PFN2	9606.ENSP00000239940	610
ATP5ME	9606.ENSP00000306003	609
NDUFA8	9606.ENSP00000362873	608
NDUFS1	9606.ENSP00000392709	599
SEPTIN11	9606.ENSP00000422896	596
KRT17	9606.ENSP00000308452	595
RPL8	9606.ENSP00000262584	593
PFN1	9606.ENSP00000225655	593
CYC1	9606.ENSP00000317159	590
KRT16	9606.ENSP00000301653	590
CLDN11	9606.ENSP00000064724	590
HSPA9	9606.ENSP00000297185	589
TUFM	9606.ENSP00000322439	588
EPB41L3	9606.ENSP00000343158	586
ENSP00000493701	9606.ENSP00000493701	585
CAMK2G	9606.ENSP00000319060	575
CANX	9606.ENSP00000247461	572
RPL18	9606.ENSP00000447001	571
APOA1	9606.ENSP00000236850	569
NDUFS3	9606.ENSP00000263774	569
SNAP91	9606.ENSP00000400459	568
AP2B1	9606.ENSP00000483185	567
SH3BGRL	9606.ENSP00000362308	566
UQCRFS1	9606.ENSP00000306397	565
SIRT2	9606.ENSP00000249396	559
SOD2	9606.ENSP00000446252	558
NME1-NME2	9606.ENSP00000376889	555
RPS9	9606.ENSP00000375632	553
DSTN	9606.ENSP00000246069	552
PDHB	9606.ENSP00000307241	549
ATP6V0D1	9606.ENSP00000290949	547
SFN	9606.ENSP00000340989	544
GSTM3	9606.ENSP00000354357	543
PGRMC1	9606.ENSP00000217971	542
RAB7A	9606.ENSP00000265062	540
PPP2R1A	9606.ENSP00000324804	540
COX7B	9606.ENSP00000497474	538
FH	9606.ENSP00000355518	537
ATP5F1E	9606.ENSP00000243997	536
RPL7A	9606.ENSP00000361076	535
GNAI2	9606.ENSP00000312999	532
NPM1	9606.ENSP00000296930	531
VAPB	9606.ENSP00000417175	529
PDIA3	9606.ENSP00000300289	527
PMP2	9606.ENSP00000256103	522
RHOA	9606.ENSP00000400175	519
PPP3R1	9606.ENSP00000234310	518
RPS14	9606.ENSP00000385958	516
RPS18	9606.ENSP00000393241	514
TPM4	9606.ENSP00000494125	512
RPL22	9606.ENSP00000346088	507
NIPSNAP1	9606.ENSP00000216121	507
HMGB1	9606.ENSP00000345347	506
MAP1B	9606.ENSP00000296755	506
DLD	9606.ENSP00000205402	501
PDHA1	9606.ENSP00000369134	498
ITPR1	9606.ENSP00000306253	496
CD81	9606.ENSP00000263645	495
NDUFA5	9606.ENSP00000417142	494
RPL4	9606.ENSP00000311430	493
RAC1	9606.ENSP00000348461	489
RTN1	9606.ENSP00000267484	488
ACOT7	9606.ENSP00000367086	487
RALA	9606.ENSP00000005257	484
H3-3B	9606.ENSP00000254810	484
H3-3A	9606.ENSP00000355780	484
IMMT	9606.ENSP00000387262	483
PYGB	9606.ENSP00000216962	482
BLVRB	9606.ENSP00000263368	481
GNAI1	9606.ENSP00000497260	481
RACK1	9606.ENSP00000426909	479
ATP2A2	9606.ENSP00000440045	479
UQCRB	9606.ENSP00000430494	479
RPLP0	9606.ENSP00000449328	478
CYB5R3	9606.ENSP00000354468	478
HSP90B1	9606.ENSP00000299767	477
KRT5	9606.ENSP00000252242	477
ATP6V1D	9606.ENSP00000216442	477
