ensembl
ENSG00000002587
ENSG00000003249
ENSG00000006432
ENSG00000006555
ENSG00000006695
ENSG00000006747
ENSG00000008323
ENSG00000010072
ENSG00000010704
ENSG00000011347
ENSG00000011376
ENSG00000011426
ENSG00000012174
ENSG00000014257
ENSG00000016391
ENSG00000019186
ENSG00000020256
ENSG00000029153
ENSG00000034533
ENSG00000040275
ENSG00000040608
ENSG00000042088
ENSG00000042980
ENSG00000046604
ENSG00000048462
ENSG00000049283
ENSG00000051180
ENSG00000051596
ENSG00000054392
ENSG00000056998
ENSG00000060140
ENSG00000060718
ENSG00000062038
ENSG00000065618
ENSG00000065923
ENSG00000067177
ENSG00000068489
ENSG00000069011
ENSG00000069764
ENSG00000071539
ENSG00000072571
ENSG00000073111
ENSG00000073711
ENSG00000074410
ENSG00000075131
ENSG00000075218
ENSG00000075643
ENSG00000076258
ENSG00000076770
ENSG00000077092
ENSG00000077152
ENSG00000078177
ENSG00000080031
ENSG00000080493
ENSG00000080839
ENSG00000080986
ENSG00000082497
ENSG00000083093
ENSG00000083635
ENSG00000083817
ENSG00000084731
ENSG00000085552
ENSG00000085831
ENSG00000087510
ENSG00000087586
ENSG00000087995
ENSG00000088179
ENSG00000088325
ENSG00000088882
ENSG00000089682
ENSG00000089685
ENSG00000090889
ENSG00000091583
ENSG00000092140
ENSG00000092470
ENSG00000092978
ENSG00000093009
ENSG00000094804
ENSG00000095002
ENSG00000095203
ENSG00000096872
ENSG00000099953
ENSG00000100079
ENSG00000100147
ENSG00000100162
ENSG00000100228
ENSG00000100290
ENSG00000100479
ENSG00000100526
ENSG00000100558
ENSG00000100625
ENSG00000100749
ENSG00000101003
ENSG00000101057
ENSG00000101158
ENSG00000101311
ENSG00000102048
ENSG00000102109
ENSG00000102743
ENSG00000102962
ENSG00000102967
ENSG00000102970
ENSG00000103021
ENSG00000103044
ENSG00000103089
ENSG00000103269
ENSG00000103316
ENSG00000103460
ENSG00000103490
ENSG00000103550
ENSG00000104140
ENSG00000104356
ENSG00000104808
ENSG00000104951
ENSG00000105011
ENSG00000105048
ENSG00000105131
ENSG00000105173
ENSG00000105246
ENSG00000105388
ENSG00000105427
ENSG00000105708
ENSG00000105793
ENSG00000105851
ENSG00000105866
ENSG00000105948
ENSG00000106804
ENSG00000107249
ENSG00000107815
ENSG00000107821
ENSG00000108176
ENSG00000108187
ENSG00000108375
ENSG00000108379
ENSG00000108384
ENSG00000108506
ENSG00000108700
ENSG00000108733
